Nom beneficiari;Descripció acció;Tipus d'acord;Import;Partida pressupostària;Motius
A-DESK;Projecte editorial, editors residents i exploració de nous formats, 2024;Concedit;7.999,00 €;7495/DI420001033/4411/0000;-
A-DESK;Pensament crític, formació i dinamització cultural 2024;Concedit;7.457,00 €;7495/DI420001033/4411/0000;-
PLADEVALL VILA, ENRIC;EXPOSICIÓ TEMPLES DEL ZEN I TRILOGIA BLANCA AL MUSEU DE LA PELL DE VIC;Concedit;30.839,00 €;7495/DI470000103/4411/0000;-
NEW MEDIA ARTS SL;MOV Explorant Llenguatges Visuals;Concedit;6.481,00 €;7495/DI470000103/4411/0000;-
Sàez Juste, Acar;Projecte I.G.L.U.;Concedit;35.000,00 €;7495/DI420001033/4411/0000;-
KUGI PROJECT SL;Jaume plensa la pòlissa del petit;Denegat;0,00 €;7495/DI420001033/4411/0000;-
```csv
KMINART, SCCL;KMINART - Camins pels d'art, naturalment;Denegat;0,00 €;7495 D/4820001034411/0000;-
Associació Cultural d'Arts Visuals Artiga;Artiga. Revista d'Art i Pensament Contemporani;Concedit;2.817,00 €;7495 D/4820001034411/0000;-
ASSOCIACIÓ PASSATGES DE CULTURA CONTEMPORÀNIA;IX ESCOLA DESTÍ WALTER BENJAMIN PORTBOU 2024. PROGRÈS I CATÀSTROFE;Concedit;2.650,00 €;7495 D/4820001034411/0000;-
Assoc. d'amics del Centre d'art i sostenibilitat del fen de la calç (CACIS);XARXES FLUVIALS I ECOSISTEMES LIQUID;Concedit;18.039,00 €;7495 D/4820001034411/0000;-
Shakilmeta Produccions SL;Tallers i residències de reflexió i reciclatge per a artistes visuals als n ous entorns XR;Concedit;18.138,00 €;7495 D/4700001034411/0000;-
ortega montilla, elisa;Impressions Corporals;Concedit;1.866,00 €;7495 D/4700001034411/0000;-
Comissariat;Programa Addenda 2024 | CMSMRT 2024;Concedit;9.473,00 €;7495 D/4820001034411/0000;-
DIFUSOR, ASSOCIACIÓ ARTÍSTICA I CULTURAL;ACADÈMIA B-MURALS Centre d'Art Urbà;Concedit;11.334,00 €;7495 D/4820001034411/0000;-
BASE O, SCCL;Mater Art;Concedit;4.343,00 €;7495 D/4700001034411/0000;-
